kelime,sesli,anlam,hece
kifayet,iae,"Yeterli miktarda olma, yetme, kâfi gelme",3
kifayet etmek,iaeee,"yetmek, yeterli olmak",5
kifayetli,iaei,yeterli,4
kifayetsiz,iaei,yetersiz,4
kifayetsizlik,iaeii,yetersizlik,5
Kiğı,iı,Bingöl iline bağlı ilçelerden biri,2
kik,i,futa,1
kikirik,iii,"Zayıf, ince, uzun boylu kimse",3
kikla,ia,"Lapinagillerden, güzel renkli, 50 santimetre uzunluğunda bir balık (Labrus berggylta)",2
kiklon,io,siklon,2
kiklotron,ioo,"Atom araştırmalarında, elektriklenmiş cisimlere yüksek hız veren bir aygıt",3
kil,i,Islandığı zaman kolayca biçimlendirilebilen yumuşak ve yağlı toprak,1
kil taşı,iaı,İnce taneli kilin zamanla kat kat yığılması sonucu meydana gelen taş; şist,3
kildan,ia,"İçine sabun, lif, kese, kına, kil konan bakırdan yapılmış kap",2
kile,ie,Genellikle tahıl ölçmede kullanılan belirli hacimdeki kap; ölçek,2
kiler,ie,"Evlerde yiyecek, içecek ve erzakın saklandığı oda, ambar veya dolap",2
kilerci,iei,"Saraylarda, büyük konaklarda kiler işlerini yöneten kimse",3
kilermeni,ieei,Eczacılıkta kullanılmış olan kırmızı renkli kil,4
kilim,ii,"Döşeme, divan gibi yerlere serilen, genellikle desenli, havsız, kalın, kıl veya yün dokuma",2
kilimci,iii,Kilim dokuyan veya satan kimse,3
kilimcilik,iiii,Kilimcinin yaptığı iş,4
Kilis,ii,Türkiye'nin Güneydoğu Anadolu Bölgesi'nde yer alan illerinden biri,2
kilise,iie,Hristiyanların ibadet etmek için toplandıkları yer,3
kilise çanı,iieaı,Kiliselerde saat başlarında ve dinî törenlerde çalınan büyük çan,5
kilise hukuku,iieuuu,Kilisenin kuruluşunu ve iç düzenini sağlayan kurallar,6
kilit dili,iiii,Kilidin anahtarla sürülen parçası,4
kilit mevki,iiei,Kilit nokta,4
kilit nokta,iioa,"Bütün işlerin bağlı olduğu önemli nokta, makam veya yer; kilit mevki",4
kilit sarma,iiaa,İki veya daha çok bağ boyundurukları altına karşılıklı olarak atılmış ve birbirine fırçalarla bağlanmış olan bir çift sarma,4
kilit taşı,iiaı,anahtar taşı,4
kilit yeri,iiei,Kilidin yerleştiği yuva,4
kilit,ii,"Anahtar, düğme gibi takılıp çıkarılabilen bir parça yardımıyla çalışan kapatma aleti",2
kilitleme,iiee,Kilitlemek işi,4
kilitlemek,iiee,Anahtarla kilidi kapamak,4
kilitlenme,iiee,Kilitlenmek işi,4
kilitlenmek,iiee,Kilitleme işi yapılmak,4
kilitletme,iiee,Kilitletmek işi,4
kilitletmek,iiee,Kilitlenmesini sağlamak,4
kilitli,iii,Kilidi olan,3
kilitsiz,iii,Kilidi olmayan,3
kilitsiz küreksiz,iiiüei,"Açık, kilitlenmemiş",6
kiliz,ii,hasır otu,2
kiliz balığı,iiaıı,Sazangillerden bir tür balık (Tinca tinca),5
kilizman,iia,"Sazlık, kamışlık",3
killeme,iee,Killemek işi,3
killemek,iee,Kirli çamaşırları kil kullanarak tokaçla yıkamak,3
killi,ii,İçinde kil bulunan,2
kilo,io,kilogram,2
kiloamper,ioae,Değeri bin amper olan akım şiddeti birimi,4
kilogram,ioa,Bin gramlık bir ağırlık ölçü birimi; kilo (kg),3
kilogramağırlık,ioaaıı,"Bir kilogramlık bir kütlenin yer tarafından çekilmesini sağlayan güce yani 9,81 Newton'a eşit olan güç birimi; kilogramkuvvet",6
kilogramkuvvet,ioaue,kilogramağırlık,5
kilogrammetre,ioaee,"Bir kilogram ağırlığındaki bir gücün, uygulandığı maddi bir noktayı güç doğrultusunda bir metre yer değiştirmesiyle yapılan işe eşit iş birimi",5
kilohertz,ioe,Bir saniyede bin titreşimi olan elektromanyetik dalga boyu ölçüsü birimi,3
kilojul,iou,Bin jul değerinde iş birimi,3
kilokalori,ioaoi,"Büyük kalori, bin kalori",5
kilolu,iou,ağır,3
kiloluk,iou,Herhangi bir kilo ağırlığında,3
kilometre,ioee,1.000 metrelik uzunluk ölçü birimi (km),4
kilometre taşı,ioeeaı,Kara yollarında üzerinde kilometreleri gösteren dikili taş,6
kilometrelerce,ioeeee,Mesafece uzun süren,6
kilosikl,ioi,Saniyede bin devir olan elektrik akımının frekansını ölçmek için kullanılan birim,3
kiloton,ioo,Değeri bin ton olan kütle birimi,3
kilovat,ioa,Bin vatlık bir güç birimi,3
kilovolt,ioo,Değeri bin volt olan elektrik gerilimi veya potansiyel farkı birimi,3
kils,i,kireç taşı,1
kilsi,ii,"Kili andıran, kile benzeyen, kil gibi",2
kilüs,iü,"Bağırsaktan gelen, içinde yağ damlacıkları bulunan ak kan",2
kim,i,"""Hangi kişi?"" anlamında cümlede, özne, tümleç, nesne, yüklem görevinde kullanılan bir söz",1
kimi,ii,Bir kısım (insan),2
kimi vakit,iiai,ara sıra,4
kimi zaman,iiaa,ara sıra,4
kimileyin,iiei,ara sıra,4
kimisi,iii,"Bir bölümü, bir grubu",3
kimlik belgesi,iieei,kimlik,5
kimlik kartı,iiaı,kimlik,4
kimlik,ii,"Toplumsal bir varlık olarak insanın nasıl bir kimse olduğunu gösteren belirti, nitelik ve özelliklerin bütünü; etiket",2
kimono,ioo,Japonların önden çapraz olarak kavuşan uzun ve geniş kollu ulusal giysisi,3
kimse,ie,"Herhangi bir kişi, kim olduğu bilinmeyen kişi",2
kimsecik,iei,Hiç kimse,3
kimsesiz,iei,"Annesi babası, yakını, koruyucusu olmayan (kimse); öksüz, sahipsiz, bikes",3
kimsesizlik,ieii,"Kimsesiz olma durumu; öksüzlük, bikeslik",4
kimüs,iü,Yemeklerin mide öz suyuyla karıştıktan sonra aldığı durum,2
kimya,ia,"Maddelerin temel yapılarını, birleşimlerini, dönüşümlerini, çözümleme, birleşim ve üretim yöntemlerini inceleyen bilim",2
kimya doğrulumu,iaouuu,"Kimyasal maddelerin etkisi ile bitkilerde görülen, maddeye doğru veya ters yöne yönelme durumu; şimiotropizm",6
kimya göçümü,iaöüü,"Bir hücreli varlıklarda, kimyasal maddelerin etkisi altında yanaşma veya uzaklaşma biçiminde görülen yer değiştirme durumu; şimiotaksi",5
kimyaca,iaa,Kimya bakımından,3
kimyacı,iaı,Kimya ile uğraşan kimse; kimyager,3
kimyacılık,iaıı,Kimyacının yaptığı iş; kimyagerlik,4
kimyager,iae,kimyacı,3
kimyagerlik,iaei,kimyacılık,4
kimyasal,iaa,"Kimyaya ait, kimya ile ilgili; kimyevi",3
kimyasal savaş,iaaaa,Kimyasal madde ve silahların kullanıldığı savaş,5
kimyasal silah,iaaia,"İnsan, hayvan ve bitkiler üzerinde zehirli maddelerle ölümcül olaylara neden olan silah",5
kimyevi,iei,kimyasal,3
kimyon,io,"Maydanozgillerden, 50 santimetre yüksekliğinde, beyaz veya pembe çiçekli, bir yıllık, güzel kokulu ve otsu bir bitki (Cuminum cyminum)",2
kimyoni,ioi,kimyon rengi,3
kimyonlu,iou,İçinde kimyon bulunan,3
kin,i,Birine karşı duyulan öç alma isteği; garaz,1
kinaye,iae,Düşünüleni dolaylı olarak anlatan söz,3
kinayeli,iaei,İçinde kinaye bulunan (söz),4
kinci,ii,kindar,2
kincilik,iii,Kinci olma durumu,3
kindar,ia,"Öç almak isteyen, kin tutan; kinci, kinli",2
kindarlık,iaı,Kindar olma durumu; kinlilik,3
kinematik,ieai,"Cisimlerin hareketlerini yörünge, hız ve ivme vb. konular bakımından inceleyen mekanik kolu; sinematik",4
kinestezi,ieei,"Beynin vücut hareketlerini algılamasını sağlayan bedensel duyumların tümü; devin duyumu, hareket duyumu",4
kinetik enerji,ieieei,Bir cismin hareketini sağlayan veya hareket eden cisimlerde bulunan enerji,6
kinetik,iei,"Hareketle ilgili, hareket sebebiyle oluşan",3
kinik,ii,sinik (II),2
kinin,ii,Kınakınadan elde edilen ve sıtmanın tedavisinde kullanılan beyaz alkaloit; kinin sülfatı,2
kinin sülfatı,iiüaı,kinin,5
kininli,iii,İçinde kinin bulunan,3
kininsiz,iii,İçinde kinin bulunmayan,3
kiniş,ii,"Marangozlukta tahta üzerine boydan boya açılan, kesiti kare veya dikdörtgen biçiminde kanal",2
kinizm,ii,sinizm,2
kinlenme,iee,Kinlenmek işi,3
kinlenmek,iee,"Öç almak istemek, kin tutmak",3
kinli,ii,kindar,2
kinsiz,ii,"Kini olmayan, kin taşımayan",2
kinsizlik,iii,Kinsiz olma durumu,3
kip,i,"Çekimli fiilin bildirdiği oluş ve kılışın; konuşan, dinleyen veya kendisinden söz edilen şahıslar açısından ne biçimde, ne tarzda olacağını gösteren kategori",1
kipe,ie,"Hızla bükülen kalçanın sert ve birden gerilişiyle, vücudun yatıştan ayaküstü duruşa veya asılmadan dayanmaya geçmesi",2
kipkirli,iii,"Çok kirli, çamura ve pisliğe bulaşmış",3
kiplik,ii,"Önermelerin yalın, belkili veya mecburi olma nitelikleri",2
kir,i,"Herhangi bir şeyin veya vücudun üzerinde oluşan, biriken pislik; kir pas, pasak",1
kir pas,ia,kir,2
kira,ia,"Bir konutun, bir mülkün veya taşıt gibi herhangi bir şeyin belli bir bedel karşılığında, bir süre için sahibi tarafından başkasına verilmesi; icar",2
kira arabası,iaaaaı,"Kiralık kullanılan araba, taksi vb",6
kira bedeli,iaeei,Kiralanan mal için ödenen karşılık,5
kira kontratı,iaoaı,kira sözleşmesi,5
kira sözleşmesi,iaöeei,Kiralama işinde karşılıklı yükümlülükleri belirten resmî belge; kira kontratı,6
kiracı,iaı,"Bir şeyi, bir yeri kira karşılığında tutan kimse; müstecir",3
kiracılık,iaıı,Kiracı olma durumu,4
kiralama,iaaa,Kiralamak işi; isticar,4
kiralamak,iaaa,Kiraya vermek,4
kiralanma,iaaa,Kiralanmak işi,4
kiralanmak,iaaa,Kiraya verilmek,4
kiralı,iaı,Kiralanmış olan,3
kiralık adam,iaıaa,Bir iş yaptırmak için tutulan adam,5
kiralık kasa,iaıaa,"Bankalarda müşterilerin değerli eşya, senet vb.nin saklandığı kasa",5
kiralık katil,iaıai,Bir kimseyi öldürmek için bir başkası tarafından tutulan kimse; tetikçi,5
kiralık,iaı,Kiraya verilecek olan,3
kiraz,ia,"Gülgillerden, ılıman iklimlerde yetişen bir meyve ağacı (Cerasus avium)",2
Kiraz,ia,"Gülgillerden, ılıman iklimlerde yetişen bir meyve ağacı (Cerasus avium)",2
kiraz elması,iaeaı,"Kırmızı, küçük ve sert bir tür elma",5
kiraz zamkı,iaaı,"Kiraz, badem, erik, kayısı, şeftali vb. ağaçların gövde ve dallarında meydana gelen zamk",4
kirazlık,iaı,Kiraz ağaçları çok olan yer,3
kirde,ie,Genellikle mısır unuyla yapılan bir pide türü,2
kirdeci,iei,Kirde yapan veya satan kimse,3
kirebolu,ieou,Arıların kovan deliğini kapamak için kullandıkları sarı ve yumuşak madde,4
kirecimsi,ieii,kireçsi,4
kireç fabrikası,ieaiaı,Kireci işleyip satışa hazır duruma getiren işletme,6
kireç kaymağı,ieaaı,"Bazı eşya ve yerleri mikroplardan arıtmakta, çamaşırları ağartmakta kullanılan, sarımsı beyaz renkte ve klor kokusunda, toz veya sulandırılmış kireç klorürü",5
kireç kuyusu,ieuuu,İçinde kireç söndürülen geniş çukur,5
kireç ocağı,ieoaı,Kireç yapmak için kireç taşlarının yakıldığı fırın,5
kireç suyu,ieuu,İçinde erimiş bir durumda kireç bulunan su,4
kireç taşı,ieaı,"Kireç ocağında işlenerek kireç elde edilen, kalsiyum karbon tuzundan bileşik kayaç; kalker, kils",4
kireç,ie,"Mermer, tebeşir, kireç taşı, alçı taşı gibi birçok taşın özünü oluşturan kalsiyum oksit (CaO)",2
kireççi,iei,Kireç taşından kireç elde eden veya satan kimse,3
kireççil,iei,"Kireçli topraktan hoşlanan, kireçli toprakta yetişen (bitki), kireçyeren karşıtı",3
kireççilik,ieii,Kireççinin yaptığı iş,4
kireçleme,ieee,Kireçlemek işi,4
kireçlemek,ieee,Kireç katmak veya kireç sürmek,4
kireçlenme,ieee,Kireçlenmek işi,4
kireçlenmek,ieee,Kireç dökülmek veya saçılmak,4
kireçleşme,ieee,Kireçleşmek işi,4
kireçleşmek,ieee,Kireç durumuna gelmek,4
kireçli,iei,Birleşiminde kireç olan veya kireci çok olan,3
kireçlik,iei,Kireç konulan yer,3
kireçsi,iei,"Kireci andıran, kirece benzeyen, kireç gibi; kirecimsi",3
kireçsileme,ieiee,Kireçsilemek işi,5
kireçsilemek,ieiee,Isı yardımıyla kirece çevirmek,5
kireçsiz,iei,Birleşiminde kireç olmayan veya çok az olan,3
kireçsizlenme,ieiee,Kayaçların içinde bulunan kalsiyum karbon tuzunun sularla eritilerek alınması,5
kireçsizleştirme,ieieie,Kireçten arıtma,6
kireçsizleştirmek,ieieie,Kireçsiz duruma getirmek,6
kireçyeren,ieee,"Kireçli topraktan hoşlanmayan, kireçli toprakta yetişmeyen, kireççil karşıtı",4
kiremit fabrikası,ieiaiaı,Modern usullerle hazırlanmış balçığın kiremide dönüştürüldüğü iş yeri,7
kiremit rengi,ieiei,Kahverengiye çalan kızıl kırmızı renk,5
kiremit,iei,"Çatıları örtmekte kullanılan, yan yana dizilerek suyu aşağıya geçirmeden dışarı akıtacak biçimde yapılmış, kızıl toprağın renginde, pişmiş balçık levha",3
kiremitçi,ieii,"Kiremit yapan, satan veya döşeyen kimse",4
kiremitçilik,ieiii,Kiremitçinin yaptığı iş,5
kiremithane,ieiae,Kiremit yapılan yer,5
kiremitli,ieii,Kiremidi olan,4
Kiril,ii,Kiril alfabesi,2
Kiril alfabesi,iiaaei,Slavlar için IX. yüzyılda Yunan harflerine dayalı olarak düzenlenmiş alfabe; Kiril,6
kiriş,ii,"Bazı telli müzik araçlarında kullanılan, hayvan bağırsaklarından yapılan tel",2
kirişçi,iii,Kiriş yapan veya satan kimse,3
kirişhane,iiae,Kiriş yapılan yer,4
kirişleme,iiee,Kirişlemek işi,4
kirişlemek,iiee,Kirişi çekip germek,4
kirişli,iii,Kirişi olan,3
kirişlik,iii,Kiriş konulan yer,3
kirişsiz,iii,Kirişi olmayan,3
kirizma,iia,Toprağı derince kazarak altını üstüne getirme,3
kirizmalama,iiaaa,Kirizmalamak işi,5
kirizmalamak,iiaaa,Kirizma yapmak,5
kirkit,ii,"Dokumacılıkta atkı ipliğini sıkıştırmak için kullanılan, demirden veya ağaçtan yapılmış dişli araç",2
kirlenme,iee,Kirlenmek işi,3
kirlenmek,iee,Kirli duruma gelmek; batmak,3
kirletme,iee,Kirletmek işi,3
kirletmek,iee,Kirli duruma getirmek,3
kirli,ii,"Leke, toz vb. ile kaplı; bulaşık, pis, murdar, mülevves",2
kirli çamaşır,iiaaı,Kirlenmiş giyecek,5
kirli çıkı,iiıı,Züğürt görünmesine karşın birikmiş çok parası bulunan kimse,4
kirli kan,iia,Toplardamarların kalbe götürdüğü kan,3
kirli sarı,iiaı,Koyu ve donuk sarı renk,4
kirlihanım peyniri,iiaıeii,Yumuşak ve yağlı bir peynir türü,7
kirlilik,iii,"Kirli olma durumu; pislik, necaset",3
kirloş,io,Kirli ve pasaklı,2
kirmen,ie,eğirmen,2
kirpi,ii,"Kirpigillerden, uzunluğu 25-30 santimetre olan, sırtı dikenlerle kaplı memeli hayvan (Erinaceus europaeus)",2
kirpigiller,iiie,"Böcekçiller takımının, örnek hayvanı kirpi olan, sırtları dikenlerle kaplı memeli hayvanlar familyası",4
kirpik besleyici,iieeii,"Kirpiklerin dökülmesini önleyen ve besleyici nitelikleri olan şeffaf, sıvı madde",6
kirpik,ii,Göz kapağının kenarındaki kıllar veya bu kıllardan her biri; müjgân,2
kirpikli,iii,Herhangi bir nitelikte kirpiği olan,3
kirpikliler,iiie,"Bir hücreli hayvanlardan, üzerleri hareketlerini sağlayan kirpik biçimindeki uzantılarla kaplı organizmalar sınıfı",4
kirpiksi,iii,"Kirpiği andıran, kirpiğe benzeyen, kirpik gibi",3
kirpiksi cisim,iiiii,Gözdeki damar tabakasının ön dış bölümü,5
kirtikli,iii,Kenarları girintili çıkıntılı olan,3
kirtil,ii,"Büyük kabuklu deniz hayvanlarını avlamakta kullanılan, ince dallardan örülmüş sepet",2
kirve,ie,"Sünnet olan çocuğun bütün masraflarını üstlendikten sonra sünnet sırasında çocuğu kucağına alarak elini, kolunu tutan ve bütün hayatı boyunca çocuk üzerinde babasına yakın hak taşıyan kimse",2
kirvelik etmek,ieiee,kirve görevini yüklenmek,5
kirvelik,iei,Kirve olma durumu,3
kispet,ie,"Yağlı güreşte pehlivanların giydikleri, belden baldıra kadar uzanan, dar paçalı meşin pantolon",2
kispet çıkarılması,ieıaıaı,"Yağlı güreşte yenilginin en kötüsü sayılan, kispetin hasım tarafından çekilip çıkarılması veya boydan boya yırtılması",7
kist,i,"Sporlu bitkilerde, özellikle mantarlarda, su yosunlarında görülen, bir veya birkaç hücreden oluşmuş organ",1
kistleşme,iee,Kistleşmek durumu,3
kistleşmek,iee,Yabancı bir cisim veya patolojik bir urun çevresinde katılgan doku sertleşmek,3
kisve,ie,kılık kıyafet,2
kişi,ii,"Kadın veya erkeğe verilen genel ad; can, şahıs, şahsiyet, zat, nefer, nüfus",2
kişi başına,iiaıa,adam başına,5
kişi eki,iiei,"Fiil çekimlerinde kişiyi gösteren ek; şahıs eki: geldi-m, gelir-iz, gelmiş-sin; güzel-sin vb",4
kişi zamiri,iiaii,Kişi adlarının yerini tutan zamir; şahıs zamiri,5
kişiler arası,iieaaı,Bütün insanları göz önüne alan,6
kişiler arası ilişki,iieaaıiii,Bireyler arasındaki toplumsal etkileşim veya karşılaşma,9
kişileşme,iiee,Kişileşmek işi,4
kişileşmek,iiee,Kişilik kazanmak,4
kişileştirme,iieie,Kişileştirmek işi,5
kişilik dışı,iiiıı,Kişisel olmayan; gayrişahsi,5
kişilik,iii,"Bir kimseye özgü belirgin özellik, manevi ve ruhsal niteliklerinin bütünü; şahsiyet",3
kişilikli,iiii,"Kendine has özellikleri olan ve bunlardan taviz vermeyen; şahsiyet sahibi, şahsiyetli",4
kişiliksiz,iiii,"Kendine has özellikleri olmayan, taviz verebilen; şahsiyetsiz",4
kişiliksizlik,iiiii,Kişiliksiz olma durumu; şahsiyetsizlik,5
kişioğlu,iiou,insan,4
kişisel,iie,"Kişi ile ilgili, kişiye ilişkin, kişinin kendi malı olan; şahsi, zatî",3
kişiselleştirme,iieeie,Kişiselleştirmek işi,6
kişiselleştirmek,iieeie,Kişiye özel duruma getirmek,6
kişiye özel,iieöe,"Sadece o kişiye ait, o kişi tarafından kullanılabilen; zata mahsus",5
kişizade,iiae,soylu,4
kişmiri,iii,çekici,3
kişmiş,ii,Küçük taneli bir tür çekirdeksiz üzüm,2
kişneme,iee,Kişnemek işi,3
kişnemek,iee,At bağırır gibi yüksek ses çıkarmak,3
kişneyiş,iei,Kişnemek işi,3
kişniş,ii,"Maydanozgillerden, yaprakları maydanozu andıran, 20-60 santimetre yüksekliğinde, tüysüz, bir yıllık ve otsu bir bitki (Coriandrum sativum)",2
kişniş şekeri,iieei,İçinde bir kişniş tanesi bulunan ufak şeker,5
kit,i,Herhangi bir hastalıkla ilgili tanı konulabilmesi için hastadan alınan örneklerin incelenmesini sağlayan çeşitli test sistemleri,1
kitabe,iae,yazıt,3
kitabet,iae,sekreterlik,3
kitabevi,iaei,Kitap satılan yer,4
Kitab-ı Mukaddes,iaıuae,"Tevrat, Zebur, İncil'e verilen ortak ad",6
kitabi,iai,Kitaba uygun,3
kitap açacağı,iaaaaı,"Sayfalarının bir veya iki kenarı katlı olan kitapları açmak amacıyla kullanılan, tahta, fil dişi, gümüş vb. maddelerden yapılan araç",6
kitap dolabı,iaoaı,"Ön yüzü açık, yatay ve dikey bölümleri olan bazı türlerinde çekmece de bulunan, kitap koymaya yarayan mobilya",5
kitap ehli,iaei,İslama göre Yahudi veya Hristiyan olan (kimse); ehlikitap,4
kitap fuarı,iauaı,"Çeşitli kurum ve yayınevlerinin katıldığı, değişik etkinliklerin düzenlendiği ve satışların yapıldığı büyük sergi yeri",5
kitap kurdu,iauu,Kitapları yiyerek zarar veren bir böcek,4
kitap sarayı,iaaaı,Halkın yararlanması için kurulmuş büyük kütüphane,5
kitap,ia,"Ciltli veya ciltsiz olarak bir araya getirilmiş, basılı veya yazılı kâğıt yaprakların bütünü; betik",2
kitapça,iaa,Kitabın yazdığına göre,3
kitapçı,iaı,Kitap satan kimse veya yer,3
kitapçılık,iaıı,Kitapçının yaptığı iş,4
kitaplaştırma,iaaıa,Kitaplaştırmak işi,5
kitaplaştırmak,iaaıa,"Kitap durumuna getirmek, kitap olarak yayımlamak",5
kitaplık bilimci,iaıiii,kütüphaneci,6
kitaplık bilimi,iaıiii,kütüphanecilik,6
kitaplık,iaı,Kitapların yerleştirildiği raflardan oluşan mobilya; kütüphane,3
kitapsever,iaee,"Öz ve biçim yönünden iyi nitelikli kitapları seçen, kitaba tutkuyla bağlı (kimse); bibliyofil",4
kitapseverlik,iaeei,Kitapsever olma durumu,5
kitapsız,iaı,Kitabı olmayan,3
kitapsızlık,iaıı,Kitapsız olma durumu,4
kitin,ii,"Eklem bacaklıların ve kabukluların dış dokusunu oluşturan, bazı mantar ve likenlerde de rastlanan, dayanıklı ve esnek organik madde",2
kitle,ie,"Bir yerde toplanmış, bir araya gelmiş insan topluluğu; kütle",2
kitle haberleşmesi,ieaeeei,kitle iletişimi,7
kitle iletişimi,ieieiii,"Dağınık insan topluluklarının örgütlenmiş bir kaynaktan iletilen haberlere veya uyarılara aynı anda maruz kalması, birtakım kaynaklardan elde edilen bilgi ve haberlerin değişik araçlarla geniş halk topluluklarına yaygın olarak duyurulması; kitle haberleşmesi",7
kitle turizmi,ieuii,"Eğlenmek, gezmek amacıyla gruplar hâlinde yapılan gezi; mas turizm",5
kitre,ie,Gevenin gövde veya kökünün üzerine bıçakla özel olarak yapılan çizgilerden akan zamk; kestere,2
kivi,ii,"Kivigillerden, Yeni Zelanda'da yaşayan, kanatları küt olduğu için uçamayan, bacakları güçlü bir kuş; apteriks (Apteryx australis)",2
kivigiller,iiie,Omurgalı hayvanlardan kuşlar sınıfına giren bir familya,4
kiyanus,iau,"Doğada serbest olarak bulunmayan fakat birçok cismin birleşimine giren, karbon ve azottan oluşan bir gaz",3
kiyaset,iae,Akıllıca davranış,3
kizir,ii,Köy muhtarının yardımcısı,2
klakson,ao,korna,2
klan,a,boy (II),1
klapa,aa,Yakanın göğse doğru inen devrik bölümü,2
klarnet,ae,"Tahtadan, metal perdeli, orkestrada önemli yeri olan bir üflemeli çalgı; gırnata",2
klarnetçi,aei,Klarnet yapan kimse,3
klarnetçilik,aeii,Klarnetçinin yaptığı iş; gırnatacılık,4
klas,a,sınıf,1
klasik,ai,"Üzerinden çok zaman geçtiği hâlde değerini yitirmeyen, türünde örnek olarak görülen eser",2
klasikleşme,aiee,Klasikleşmek işi,4
klasikleşmek,aiee,"Herhangi bir sanat, sanatçı, eser klasik duruma gelmek, zamana karşı değerini yitirmemek",4
klasikleştirme,aieie,Klasikleştirmek işi,5
klasikleştirmek,aieie,Klasik duruma getirmek,5
klasiklik,aii,Klasik olma durumu,3
klasisizm,aii,"Eski Yunan, Roma sanatından, edebiyatından kaynaklanan, XVII. yüzyılda Fransa'dan yayılan sanat ve edebiyat çığırı",3
klasman,aa,bölümleme,2
klasör,aö,Yazılı kâğıtları düzenli ve sıralı bir biçimde korumak için kullanılan mukavva veya plastikten telli kap; sıralaç,2
klavsen,ae,"Klavyeli ve telli bir çalgı; çembalo, çimbali",2
klavsenci,aei,Klavsen çalan kimse,3
klavye,ae,"Parmaklarla hareket ettirilen piyano, org vb. çalgılarda veya yazı ve hesap makinelerinde değişmez bir eksen çevresinde inip kalkabilen, istenilen işe göre düzenlenmiş bazı mekanizmaları çalıştıran kaldıraç kollarının, tuş sıralarının bütünü",2
klavyeli,aei,Klavyesi olan,3
klavyesiz,aei,Klavyesi olmayan,3
kleptoman,eoa,Kleptomaniye yakalanmış kimse,3
kleptomani,eoai,Gerçekte gerek duyulmayan maddeleri çalma dürtüsü,4
klerikalizm,eiai,"Dinin ve din kurumlarının toplum hayatının çeşitli kesimlerindeki yerini güçlendirmeyi amaçlayan toplumsal, ekonomik akım",4
klik,i,hizip,1
klikçi,ii,hizipçi,2
klikçilik,iii,hizipçilik,3
klikleşme,iee,hizipleşme,3
klikleşmek,iee,hizipleşmek,3
klima,ia,Soğuk veya sıcak hava vererek kapalı bir yerin havasını değiştiren elektrikli araç; iklimleme cihazı,2
klimatolog,iaoo,iklim bilimci,4
klimatoloji,iaooi,iklim bilimi,5
klimatolojik,iaooi,İklim bilimi ile ilgili,5
klinik vaka,iiaa,Hastaneye yatırılarak tedavi edilmesi gereken hastalık,4
klinik,ii,"Hastanın bakıldığı, muayene edildiği yer; seririyat",2
klinker,ie,Çimento yapımında fırından ezilmeden çıkan pişirme ürünü,2
klinometre,ioee,eğimölçer,4
klip,i,"Genellikle televizyonda gösterilmek üzere hazırlanan, bir müzik parçasını görüntü eşliğinde veren film",1
klips,i,"Yaylı bir pensle tutturulmuş küpe, iğne vb",1
klişe,ie,"Baskıda kullanılmak amacıyla, üzerine kabartma resim, şekil, yazı çıkarılmış metal levha",2
klişeci,iei,Klişe yapan kimse,3
klişecilik,ieii,Klişecinin yaptığı iş,4
klişehane,ieae,Klişe yapılan yer,4
klişeleşme,ieee,Klişeleşmek işi,4
klişeleşmek,ieee,Klişe durumuna gelmek; kalıplaşmak,4
klitoris,ioi,"Kadınlarda cinsiyet organının ön kısmında bulunan, cinsel zevk alma açısından hassas, küçük çıkıntı; dılak, bızır",3
klon,o,kopya,1
klonlama,oaa,kopyalama,3
klonlamak,oaa,kopyalamak,3
klor,o,"Atom numarası 17, atom ağırlığı 35,5 olan, normal sıcaklıkta gaz durumunda bulunan, halojenlerden bir element (simgesi Cl)",1
klor hidrat,oia,Azotlu organik bir baz ile hidroklorik asitten türeyen tuz,3
klor hidrik asit,oiiai,Klor ile hidrojen bileşiği (HCl),5
klorik asit,oiai,Klordan türemiş oksijenli asit; klorik (HCIO3),4
klorik,oi,klorik asit,2
klorlama,oaa,Klorlamak işi,3
klorlamak,oaa,Mikroplardan arındırmak amacıyla suya düşük oranda klor katmak,3
klorlanma,oaa,Klorlanmak işi,3
klorlanmak,oaa,Klorlama işi yapılmak,3
klorlu,ou,Birleşiminde klor bulunan,2
klorofil,ooi,Güneş ışığını soğurarak bitkilerde karbon özümlemesini sağlayan ve bitkilere yeşil renklerini veren madde,3
kloroform,ooo,"Renksiz, hoş kokulu, genellikle anestezide kullanılan, yatıştırıcı sakinleştirici ve uyuşturucu birleşik (CHCI3)",3
klorometri,ooei,klorölçer,4
kloroplast,ooa,"Yeşil bitkilerde hücrelerin içinde bulunan, klorofil moleküllerinden oluşan, karmaşık yapılı kromoplast",3
kloroz,oo,"Kanda alyuvar sayısının azalmasından ileri gelen, genellikle genç kızlarda görülen kansızlık",2
klorölçer,oöe,Bir sıvının içindeki erimiş bulunan klor miktarını ölçmeye yarayan alet; klorometri,3
klorür,oü,"Klorun, oksijen ve flor dışındaki elementlerle yaptığı birleşik",2
klorürlendirme,oüeie,Klorürlendirmek işi,5
klorürlendirmek,oüeie,"Klorla birleştirmek, klorüre dönüştürmek",5
klorürleştirme,oüeie,Klorürleştirmek işi,5
klorürleştirmek,oüeie,"Bir organik moleküle, hidroksil (OH) grubu yerine klorür (Cl) getirmek",5
klostrofobi,oooi,kapalı yer korkusu,4
kloş,o,Alt tarafı çan biçiminde genişleyen (etek),1
klozet,oe,alafranga tuvalet,2
klüz,ü,kanyon,1
koalisyon,oaio,Çeşitli güçlerin bir araya gelmesiyle oluşturulan birlik; ortak yönetim,4
